唯一代码,Q1,Q2,Q3,Q4,Total
22aaa728cfceb029465467a2146f4db0,10,26,30,2.5,68.5
2329c54ff1615497086e7f6472316f33,30,30,30,10,100
240faa3debdb9721e5004fcc052eebf9,30,10,30,7.5,77.5
243da1ebdf5d818626f0d5193c0ea887,30,23,30,5,88
2577c0a35b2a25c78a91cfc97b24f07a,25,26,5,10,66
28cbcad74490c2b103b6c33a9d5cfe32,25,27,30,7.5,89.5
2950d53bcc84c77c201db695b24ee8a3,5,12,10,2.5,29.5
29807f684356a8049ef12e75a5c1b94e,30,0,30,5,65
29ec00941ae9f130cefe55ee44278730,5,30,30,7.5,72.5
2a606081a5de14a53597fe70d8cb60ea,15,23,10,10,58
2a665e1c485cad6016fba793e6bd117b,30,0,30,10,70
2b36e92f400d76d1941b30e146eee70f,5,23,15,10,53
2c91fcac911ac04942ede10a86cc6778,30,30,30,0,90
2cb3baf73063d352436222709281835a,30,18,30,10,88
2d4ff77eac213968eabb51289f51203d,30,6,30,10,76
2e7dcd5d31819970aad9a2abea8db287,5,27,10,10,52
2fff32c36b3c935f7e06615e76777eb3,20,28,10,7.5,65.5
306b8a0057cbf61cde8c873c8e450648,15,0,,7.5,22.5
3102245061d605c5e91b853edfafcbfe,30,30,30,10,100
318a11e836b7399fbe9b91d3693e7d5b,30,30,30,10,100
31ef9eed88f38d40d7715d1ad975763b,30,30,30,5,95
32ee8779bc48c5202d0efd99747b0ea0,30,11,30,10,81
33d43c5ffad42ae78f2511ef2a1de7ec,30,25,30,10,95
3409696ac43a24273509de03dbfeeb88,25,25,30,7.5,87.5
344b3068cbcd0da5ac32245868fbda1c,30,30,30,7.5,97.5
34f4ae7d9a2a9ed659d76442ff3e4b65,15,30,30,10,85
35345915307fc2c2ee2c0c797de223b7,10,26,10,5,51
36ce7a3b09b076cf2b33610cc000969a,0,0,5,2.5,7.5
37a7a0fe4a2dae81062dfa96a50ffa71,15,26,15,10,66
380df545148be74a352cd3abaf698f40,30,23,30,10,93
3826827edf19ed64c0b6bd2a46e8f20d,15,22,30,10,77
383be892a7582a448b823e3dba75ca46,20,11,30,5,66
39e0c111e590763fa8b39265ad9b6741,15,2,15,5,37
3cc0d083252d8710ce88d76db6231954,15,5,30,10,60
3d8fab7c91402172d2253fb8907d49de,5,19,5,5,34
3d9a3a23a53170d1dc5e6837f49f157c,0,6,0,7.5,13.5
3f19f797c9b3c59edd0e76f635954d27,30,30,30,10,100
3fe999de68d04772e277f327c7a26786,5,20,5,10,40
4217056ec366f3ad1b13588c322c1a54,0,13,0,5,18
42b63d7b616c276757b16ab173e79cab,5,17,10,7.5,39.5
430f3b081cb589697a29b3de575f58ba,15,6,15,10,46
437b2a5212eb4edaf196c87649c0aa54,30,23,30,10,93
438a141aa01c18cf9a2bd1000f27939f,0,0,5,0,5
44306691c840cc1d3ad8368e3e1d64c2,15,30,30,10,85
46e77ea26564d2ac4a5485c34d915de1,30,26,30,7.5,93.5
474c05c9d4ec18ab9623d07312c24bbc,30,29,30,10,99
477ad73212e7acad47d9de8a877becc9,15,30,5,7.5,57.5
47db9565dc82a90290e01e457998a09d,15,3,10,7.5,35.5
4886fe1ca56580d35ab99c4ad72f8fe5,30,20,0,7.5,57.5
48df395d43662277cbeaf3a1c4ac377f,25,8,30,10,73
49a7ec56fff55b8644bfe5a2c2fad0f6,15,0,5,7.5,27.5
49f0b34a4d9e77632f762d00a3c319a7,5,14,5,7.5,31.5
4b13d83e67c796205a1315f7a1e05ba4,30,30,30,10,100
4b8a4bd19ed1bfc4895eff8a357799b1,30,26,30,10,96
4cd419bf1ceee09487b9332d829bcd77,30,30,30,10,100
4d956d11668d9b1f80c53ac0e37d2dcf,20,27,30,5,82
4dcbf113f26c8b375c0dcbd822ea1356,15,18,5,7.5,45.5
4f3c9d7ed66b38b1c799c80130967dec,30,30,30,7.5,97.5
50d826c32139accecb4fdd212dd5a884,30,30,30,7.5,97.5
510e0b550cd5106e6316778c72128fbc,15,29,,5,49
524fd0f1dde6805e8d8911a021e08513,0,0,,0,0
52669e9a4a0223c88a38aace7f9fcbe1,15,0,15,10,40
55638721dcee12cb1cf59969779d73fd,0,30,15,5,50
55669a78df24ac65b5f70262e7b6c835,15,12,30,7.5,64.5
56982d9c8a056a9c1e476bb30f72eb53,25,20,25,10,80
56c666b5b273a50da5b07bd4fa032025,5,1,20,7.5,33.5
587421ab7936060c3b29b1b0c8c00226,30,30,30,10,100
58ceb92a357e21bb107ce95f328512b6,30,26,30,10,96
590e8fc6864bd9a511c474e8baef6800,15,30,30,10,85
596f397cf110d3bba5e4da625bd63b38,30,27,0,7.5,64.5
5a6f98f950d1934daf89190f8d852ad7,15,13,30,5,63
5b0efd9ee1338801c28fb27f61b6a3ef,30,6,30,10,76
5ba9a524a089c651a088b50cfd20deab,15,30,0,10,55
5d228c3a9c0acc0ebaea78c35735c97c,30,30,20,10,90
5d62d3f8c9aab4d1932722338676ecdb,0,,0,0,0
5e17c31c6efc3afb450c2b1e83fd3233,0,0,0,7.5,7.5
5f5aef3f6e3201f68474e1c2511e1f7a,5,12,10,7.5,34.5
5fd931778350158410e30fe23a831b67,30,19,30,10,89
607c713ccd424a9b4704c8d47780f0c5,0,7,5,7.5,19.5
60aafd8292f894f4556fce5dc04a3b2b,15,28,30,5,78
618d148f4fb319d68c3748e5adc53ca9,25,21,5,10,61
61af3b9306ecd0595474400b65ed4df1,20,28,15,5,68
61b65e45e3be1ddb43d6f6009cc67415,30,30,30,5,95
64920965e20e7312b8e22b2a3ed5df7a,30,30,30,10,100
64fb56d5bca419588e11989f97d8ffdc,25,30,10,2.5,67.5
66302913e54f69e457a608cb219a74ea,30,0,30,10,70
672fb7f12035ee421cf651c9f10c9a9e,30,30,30,10,100
673cd0c89a2c89876b6ad85f29e5bbe7,0,25,5,10,40
68a330a79c4d495a9028b382f3010eda,15,22,30,0,67
6a1a545e956e1874e5f431cb1793e009,15,1,30,10,56
6b23e31208c7d752dc38eca21cd3777e,15,28,30,7.5,80.5
6b5b6078cacb1954cb0a85e27513efe9,30,22,30,7.5,89.5
6c2479ba2c3cf95b5b361150ee342bbe,15,21,10,7.5,53.5
6e334a81762f33b5ab4a6f84136473f6,15,11,10,10,46
6e7f7aef481e78e76a7818b84a9e1aaf,30,30,30,10,100
6fdcd904b05c8628a9453cd34e63ba5b,15,15,5,10,45
6fe7fa536b33123a9ed9426e73d38d84,30,26,20,10,86
703bdfc69e02d3492b50faf9d2dc0d11,15,30,30,7.5,82.5
707a86c38f4ec32ed1a1fdba624c6985,15,27,30,10,82
707dccd10c2af00458df65a914a00e99,30,3,30,5,68
7104ec7636e752ebe4c62bd20d47add4,15,30,30,10,85
71a5d630f572642e142a4d50b0512c92,0,,,0,0
7343c85428f415f61ba7d37127587995,30,0,10,10,50
73d825d22345bced28336f3b57957df9,0,0,5,7.5,12.5
74049541db1d9df5d728eaccd1187e83,20,14,30,10,74
74b6c2dd2bfffad13e2a33f8766e8b5b,15,30,30,7.5,82.5
76445636314a1fb003996866bd8b0b06,15,26,30,10,81
766eaf61be2cbab4699541bf1b60fe01,0,21,30,10,61
76b64ef5dc86102159bd6ac14a681849,30,30,30,10,100
7766dee465e368c2fafd946b9a003c29,0,0,,10,10
7812c8153d9091b42d4a2b98bf943a91,15,23,10,7.5,55.5
79879e37502554047f07261cd23e6a09,30,7,30,10,77
7a1d986bfe908e6bd6ecd1690901b0f6,15,25,0,7.5,47.5
7a40c0360a44d986a7d5bd1eb28ff8dc,15,27,30,10,82
7a4297561c7e11aaa7edc873ab020163,30,30,30,10,100
7b3289e955adf4bb0563d6a43fe03f5b,30,30,30,10,100
7c662ad83361adce02a1c36d9fa19361,15,30,20,7.5,72.5
7d7a6260ac401c91f8f07976c4cad238,30,30,30,10,100
7d8abd9f2661a083a65f56ce34b4daf6,5,20,10,5,40
7e25dd81031048cf907492136226ec3e,30,30,30,7.5,97.5
7f9bbfb35972e666c30b0468f41a496e,30,0,5,5,40
801be693054614cb28dc8f2c1ba6aa89,10,0,30,7.5,47.5
814c9b5936a110bee12a429479457d3d,30,28,30,7.5,95.5
8471c043a21443a3432e7df9c770da88,30,25,30,10,95
85e6eaba5c395250fda9100051eabcc2,15,25,30,7.5,77.5
85f85f6003e250225027aed9d874fa2c,15,0,5,7.5,27.5
868a213b40baaa992dc8a8d66d5e3031,15,10,30,5,60
87101c10e26f87ecab56d2681660114a,15,0,10,10,35
875f31681b9ecfbd419a5cfa4a7b0456,30,30,30,10,100
87dd511e70d1e5c439471a550e99574d,30,28,30,10,98
888800506e2c1ba95e7f44b31e14f421,20,5,5,10,40
88b0cbc2209bab0b42831b957dc96ce9,15,29,10,0,54
89e7a8a9476833f5299d639dc8faae77,30,20,30,10,90
8a019f18c7243b241ce752ed6103d7c0,30,26,25,7.5,88.5
8d64e94410cfc0e64d59d39c330cad39,30,30,30,10,100
8e16aff8957faaebc34e01ea4a9a8789,30,30,30,10,100
8e306f04714d60aa23a24d64d8c5b851,20,26,30,10,86
8eda37809ae6cb60ab6acc8179b67177,15,14,30,10,69
8f5c39e437ce5d44755e25d231550e2b,30,6,30,10,76
8f677a438f07bdc71845901ca32d911d,30,30,30,10,100
9072a77eb4d498f4544feb84a19a2298,0,28,30,10,68
9131b9e4148619c93055ed4c059320b0,15,25,10,10,60
9155e0eec16d85d7067c19763dfbd3fb,20,30,20,10,80
92d0b5ccc9193c7cc02e27814a04ca47,30,16,10,10,66
9367d107e189b3b21be24d035bf037fc,30,30,30,7.5,97.5
9424dd5e3f9850870b2244c009e08195,30,0,30,10,70
9739926ce5a21b87d3f65bdf1165728f,5,0,5,7.5,17.5
997be113ad95b7225ca8c39d09541b24,30,30,30,10,100
9bae0e7604219825d32b153efb740777,15,25,25,7.5,72.5
9c17a9f0118e08a6d6bee850b2221480,0,,0,0,0
9c18375c921a7f216b3c975482d170dd,30,4,30,5,69
9c5c481c2fe85b30a231e7ccc51847c5,30,30,30,10,100
9d5b717f7d6379e7b11e384b54778f08,30,24,30,10,94
9e3ba5ca4ca3c7b36a40dc4c43650ded,20,24,10,7.5,61.5
9f09848f4f1b871be3c91c614fc46b76,30,11,30,10,81
9f5c32b83498bf64291705e666f33029,30,30,30,10,100
9f732ac42bffee1cfcbebc7c218df1fc,30,30,30,7.5,97.5
9fb8169bed339eca8945e7b1f5938e12,30,30,30,7.5,97.5
a14b6b21a1c6fd6197668ba48fac5d18,30,28,30,10,98
a2896e217a0b423da2718be2fe572f6d,30,10,30,7.5,77.5
a50f8c5773f3127b26951959d9c7e629,30,30,10,5,75
a63924aea2cc3d21a961aa2e1446df02,15,20,0,10,45
a6b61e8c4b5c7d34b6c9fb676da3cd30,30,17,30,10,87
a7d7b81937a2c2096cb1482f2af83cab,15,0,10,10,35
a94a8f3c0781d8f0dd10be9d4495df75,20,15,30,2.5,67.5
a96a0c73c73818676e063c92d62e1229,0,0,0,5,5
a98fb950d723c5065a7b6a4829c55259,15,30,30,5,80
aa8f26aa8d153d98d848ae48711ce10a,15,21,30,10,76
aaabaedc7aae93eef5d75910c2c23209,15,3,5,0,23
ada11b15de1099c7c9c462f4c287c474,30,30,30,10,100
ae3d712adfa24640731b1d508419c40e,30,30,10,10,80
af186959360b9b9eafb2fa20abd514f8,10,5,30,10,55
afa2a7d2ed6f45398dc50104b25141bf,15,25,30,10,80
afe3b9d6e6806cb459966197b9bf7cfc,30,30,30,10,100
b0ce561e60cfd4f6f3650cc0cdce0999,0,0,,0,0
b0d35e6aa4e47842f6199945c28a37f3,10,19,,2.5,31.5
b0e33c317c327f43ede4203ff9abbca8,30,26,5,5,66
b278413431771a15e3a9cc66b59ee326,20,8,30,7.5,65.5
b62c675701f8651145fc2df5cdd3eb54,10,7,5,2.5,24.5
b9755dedad8d71e49639873cec854240,5,6,30,2.5,43.5
bab4b59b55c2738a49128c48738be36a,30,7,30,10,77
bab9471cf7f83fdc869ffa881e18c763,25,30,30,10,95
bb74ef3230332e3ae877131aff044213,30,27,30,10,97
bbaf9588a519d2717898261b79c7850b,25,9,30,5,69
bbfcba72ba3699a2fdda942b0f82dd90,15,2,10,10,37
bd2a5b8845a53d3568089d0d081cc229,15,20,5,0,40
be3ef3b0f67db0e3d0689f29b8b018c7,30,24,30,10,94
be51a034a4413708a8b4d2a81a941f2e,30,30,30,10,100
bf02fbbf7881a13bb8f07b6beba83d38,30,5,30,7.5,72.5
bff0e462acd17336057a5e6192d5f9b7,15,26,30,10,81
c047e2c225a3dd03e5bba52bd9da9fb0,15,1,30,10,56
c088cf9f789272d9d24c48ddda4efe90,15,5,5,0,25
c0a0fad363dc6dd2a4bdc95163e83d8f,30,30,30,10,100
c1d6a63a8d85277a5abdff725a77bd4b,0,26,30,10,66
c35d6c9ee2aafeb9c6ad3a450caed2df,30,30,30,10,100
c3b18c28642aab0303fcbe3127b2929d,30,23,30,10,93
c3e0645bdd80c634d542d33263b3049f,30,30,30,10,100
c459fd2c0638668b05a3346f198a6b09,10,28,30,10,78
c484610f9221d053860a9eacdcba9044,15,0,10,5,30
c651e4193cd7a1484d30389cd745b62c,0,0,10,10,20
c7eca6de01bc362b5d25f068c315c1e3,25,1,10,10,46
c8a86fcb3cd1ac28110bd6f5c34cd99e,15,2,30,10,57
c906067bf108039301063a9e3c5b9abe,30,20,30,7.5,87.5
c99fac900e863c264f7d5db76ba96e29,5,5,5,5,20
c9d28ee466560041d076edc2268b231b,14,27,30,10,81
ca719da8fd33246bf7d49e5f70c93029,30,0,30,10,70
cae3a5cca782a1a932860c50be8435d2,20,7,30,10,67
cbc106c1615c24f8915e72ce87ebbbee,30,30,30,5,95
ccdf8619dea53b16fbf38f1fd8cf87e8,30,0,30,10,70
ced3d0dffa7a4abdae6b3007ca8a72c4,5,30,10,5,50
cee31651373507c7f9a97ec49ac4e662,30,24,30,7.5,91.5
d0f9fef78fc208c9a742385190823c4b,20,19,10,0,49
d27876a0b6f1e2dbe013c4434b20815f,20,24,10,10,64
d47c12ef32f70dab6e33601c9e0b797e,30,28,30,7.5,95.5
d5a0bdfd4afd4ea07bf350d3bed0fbf7,30,25,30,10,95
d5f8bd3aded8099302b45e7553526fd8,30,30,30,10,100
d770193dfa6420ce72f70bdaad9e6222,30,30,30,10,100
d7e3a76e2cffec8052fba07d37d28d57,30,30,30,10,100
d7fd73534c0e12d967310ef3f4c1b9f0,0,,0,0,0
d863ab72ea13e673f79189acf72ee831,20,,5,,25
d9155087d3181d3439c7f6a6558d4f5d,0,5,10,5,20
dadb07b8203b761d7a326b8c37fb118d,30,14,30,10,84
db871cf3595ef6175e4bbd672061a491,30,22,30,10,92
dbcaf870dd8b7bac844028a4aef6cfde,30,30,30,10,100
dc7843a559fc28d16ef6ffabbb1c03b6,30,30,30,7.5,97.5
ddcacf622b2295fddb42c0fbc7645870,30,30,30,10,100
ddce701caf84546f69a6ff63c4e830a7,15,10,30,10,65
ddeb4dbbf2c3ae979d9b0c87ef1b5b8d,15,7,15,7.5,44.5
ddfed60884867a782daf23f9f9669ccc,30,30,30,10,100
dee344f18062a34d0df1c9d262be5bdc,30,30,30,10,100
df906df969341b64dd30340085d3d6fc,30,30,20,7.5,87.5
e082c0373ca8a0863bb9e8b6006ee0bf,5,4,20,5,34
e36c3a807db2fa04376da67db2a2f05e,30,26,30,10,96
e439c8e96ac54480a5cdc6a39a904ca7,15,26,30,10,81
e56e53eaf8bbe22f62ea674f17763059,10,,5,5,20
e6a1623bd3194b13bf2d82459bff1cf0,0,3,30,10,43
e7cf4afecfc68f3ad4c2f600135c323f,30,29,30,10,99
ea2d5b58e2e728cadb211f12cee00a8d,30,30,30,7.5,97.5
ebdf5fc9514a1de6467042834bd682cf,30,26,30,7.5,93.5
ebf44e4f847affb59a6f7697dba8d0b7,25,13,30,10,78
ec2caa4cda02ad3d8ca7492562ee1740,0,8,15,5,28
ec699aa9e762ff64de8fc74f022fdb9f,30,28,30,10,98
ecdcb89da9029ba4db9f3e325f0f10cf,25,26,30,10,91
ef3e3f634ea469e55439e43a52a417c7,30,29,30,10,99
ef729f9a9a97b0a394b177971fc18e06,30,3,30,7.5,70.5
f297e5d4b08b007cd037f770ac984f24,0,0,0,7.5,7.5
f2a1d7ce80068b1248e6cdd8a82a58f1,10,0,30,10,50
f52de56fe5204e81bfc90efd3b360f34,30,25,30,7.5,92.5
f58492a6501cb06268723c92f4929764,30,28,30,10,98
f66c39a64d0dd4f306866f66e5d3c3bf,15,2,15,7.5,39.5
f74b42f22fec17b7ddf5efbf0cd31951,30,19,30,10,89
f7b5cefd3988e1141c9b4304aff683fa,14,25,0,5,44
f8bf9c415f0645dcedbebb22d97715c5,30,28,30,10,98
f8e925bbb3cc51d035cc9cfafb608065,15,25,0,5,45
fb11f76e3209f00772ebc5ac1d48ebff,0,0,,5,5
fc07e20ec91c7951be68daf15751a6d7,30,29,30,10,99
fc113b4996955f16adad66c4a1b89ee0,30,28,10,5,73
fc479893a29cfb3fe21b3d96b168a7bf,0,22,5,10,37
fcfa67e0f28566e906aa3d90460d5cc2,5,15,10,0,30
fd0e4a7432be32b35834cccfb98bb0c2,20,28,15,7.5,70.5
fdec7a8f5525e82c22f4832547054607,15,20,0,10,45
